skill
python
java
c++
sql
mysql
mongodb
machine learning
deep learning
data science
pandas
numpy
scikit-learn
tensorflow
pytorch
react
node.js
fastapi
flask
docker
kubernetes
aws
gcp
azure
git
github
html
css
javascript
rest api
nlp
power bi
tableau
excel
